L1,L2
0.05,0.05
0.04,0.08
0.03,0.16
0.03,0.22
0.04,0.39
0.09,0.61
0.32,0.69
0.62,0.72
0.75,0.64
0.77,0.71
0.75,0.64
0.71,0.73
0.74,0.67
0.84,0.75
0.8,0.7
0.75,0.75
0.74,0.7
0.78,0.67
0.78,0.74
0.71,0.65
0.72,0.67
0.79,0.62
0.68,0.66
0.81,0.7
0.66,0.63
0.74,0.66
0.77,0.65
0.74,0.68
0.73,0.65
0.83,0.74
0.69,0.7
0.74,0.66
0.71,0.62
0.8,0.75
0.71,0.78
0.74,0.81
0.74,0.71
0.77,0.74
0.76,0.7
0.81,0.67
0.73,0.74
0.77,0.68
0.73,0.52
0.73,0.71
0.73,0.74
0.72,0.72
0.73,0.62
0.78,0.64
0.75,0.63
0.85,0.62
0.75,0.64
0.76,0.74
0.79,0.68
0.8,0.65
0.72,0.64
0.74,0.68
0.75,0.58
0.79,0.65
0.68,0.67
0.77,0.71
0.73,0.69
0.76,0.75
0.77,0.74
0.75,0.69
0.71,0.73
0.81,0.62
0.78,0.76
0.76,0.71
0.65,0.75
0.78,0.76
0.78,0.66
0.74,0.69
0.8,0.72
0.79,0.77
0.72,0.69
0.72,0.71
0.79,0.72
0.7,0.68
0.7,0.72
0.68,0.74
0.79,0.69
0.81,0.72
0.79,0.7
0.8,0.75
0.73,0.72
0.77,0.75
0.74,0.75
0.78,0.66
0.82,0.75
0.68,0.66
0.69,0.69
0.73,0.68
0.81,0.74
0.76,0.74
0.78,0.66
0.69,0.76
0.74,0.73
0.75,0.67
