L1,L2
0.05,0.05
0.1,0.04
0.15,0.07
0.29,0.11
0.46,0.21
0.55,0.34
0.7,0.48
0.69,0.67
0.72,0.7
0.66,0.64
0.78,0.66
0.68,0.76
0.67,0.72
0.77,0.68
0.72,0.75
0.73,0.75
0.74,0.72
0.7,0.72
0.77,0.7
0.74,0.7
0.7,0.76
0.61,0.65
0.71,0.78
0.74,0.64
0.74,0.7
0.7,0.69
0.65,0.65
0.7,0.69
0.79,0.69
0.63,0.63
0.74,0.71
0.66,0.63
0.78,0.77
0.68,0.74
0.66,0.75
0.69,0.63
0.66,0.64
0.76,0.69
0.74,0.68
0.8,0.75
0.75,0.65
0.73,0.67
0.66,0.7
0.62,0.71
0.75,0.73
0.64,0.71
0.75,0.7
0.75,0.7
0.65,0.67
0.74,0.75
0.7,0.82
0.83,0.7
0.78,0.64
0.69,0.78
0.77,0.59
0.69,0.7
0.71,0.66
0.7,0.75
0.69,0.63
0.71,0.62
0.76,0.64
0.71,0.68
0.71,0.7
0.68,0.73
0.7,0.76
0.68,0.65
0.74,0.67
0.8,0.68
0.76,0.75
0.74,0.74
0.73,0.68
0.74,0.68
0.74,0.64
0.71,0.68
0.74,0.69
0.7,0.6
0.71,0.76
0.67,0.66
0.76,0.74
0.77,0.72
0.67,0.67
0.7,0.67
0.68,0.72
0.77,0.74
0.62,0.65
0.64,0.76
0.74,0.63
0.77,0.71
0.73,0.66
0.68,0.72
0.7,0.71
0.66,0.75
0.71,0.69
0.73,0.72
0.65,0.66
0.68,0.68
0.76,0.71
0.72,0.8
0.71,0.71
0.81,0.69
0.75,0.62
0.75,0.72
0.69,0.63
0.65,0.69
0.74,0.66
0.72,0.65
0.7,0.77
0.71,0.68
